Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
hl.exe,,Público,Sí,Permitir,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hl.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl.exe,,Público,Sí,Permitir,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hl.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl.exe,,Privado,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif48\hl.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl2,,Privado,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\counter-strike source\hl2.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hl2,,Privado,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\counter-strike source\hl2.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
hlds.exe,,Privado, Público,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif\hlds.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hlds.exe,,Privado, Público,Sí,Permitir,No,D:\users\carlos\documents\respaldo memoria usb\harlaif\hlds.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hltv,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\half-life\hltv.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hltv,,Privado, Público,Sí,Permitir,No,D:\program files (x86)\steam\steamapps\common\half-life\hltv.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hltv.exe,,Privado, Público,Sí,Permitir,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hltv.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
hltv.exe,,Privado, Público,Sí,Permitir,No,C:\users\carlos\downloads\half-life-build-3219\half-life\half-life\hltv.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
HP LJ Network PC FAX Port -DRV32,,Privado,Sí,Permitir,No,C:\Program Files (x86)\Hewlett-Packard\Network PC Fax\drv\HPFaxMon.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP LJ Network PC FAX Port -DRV64,,Privado,Sí,Permitir,No,C:\Program Files (x86)\Hewlett-Packard\Network PC Fax\drv\HPFaxMon64.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP LJ Network PC FAX Port64,,Privado,Sí,Permitir,No,C:\Windows\system32\spool\drivers\x64\3\HPFaxMon64.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP MFP Scan,,Privado,Sí,Permitir,No,C:\Program Files (x86)\HP\MFP Scan\EDC.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP MFP Scan,,Privado,Sí,Permitir,No,C:\Program Files (x86)\HP\MFP Scan\EDC.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP Scanner Discovery Module V3,,Privado,Sí,Permitir,No,C:\Windows\twain_32\HP\HPLM13X\ScanCDLM\ScanCDLM.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
HP Scanner Discovery Module V3,,Privado,Sí,Permitir,No,C:\Windows\twain_32\HP\HPLM13X\ScanCDLM\ScanCDLM.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Java(TM) Platform SE binary,,Privado, Público,Sí,Permitir,No,C:\program files\java\jdk-16.0.2\bin\javaw.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Java(TM) Platform SE binary,,Privado, Público,Sí,Permitir,No,C:\program files\java\jdk-16.0.2\bin\javaw.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
JKI Updater,,Todo,Sí,Permitir,No,C:\Program Files (x86)\JKI\VI Package Manager\support\JKIUpdate.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
LabVIEW 13.0 Development System,,Privado,Sí,Permitir,No,C:\program files (x86)\national instruments\labview 2013\labview.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
LabVIEW 13.0 Development System,,Privado,Sí,Permitir,No,C:\program files\national instruments\labview 2013\labview.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
LabVIEW 13.0 Development System,,Privado,Sí,Permitir,No,C:\program files\national instruments\labview 2013\labview.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
